sent1,sent2,label,matrics
"metaphor. Because knowledge and beliefs cannot be physically absorbed, but rather learned and internalized.",metaphor. To indicate the process of absorbing or becoming familiar with new information or ideas,1,"[0.06666666666666667, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.14285714285714285, 0.0, 0.14285714285714285, 0.035460992907801414]"
metaphor. To indicate taking on or assuming responsibility for the financial burden or consequences.,"literal. Because it means to take in or absorb, not necessarily to increase or decrease in size or importance",1,"[0.10526315789473682, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.2857142857142857, 0.0, 0.2857142857142857, 0.13793103448275862]"
metaphor. The sales tax is included in the state income tax without being separately identified.,metaphor. The sales tax is not a physical object that can be physically worn or carried,1,"[0.3125, 0.26666666666666666, 0.21428571428571425, 0.15384615384615385, 0.4, 0.2857142857142857, 0.4, 0.19867549668874174]"
"metaphor. It implies excessive or harmful use, not physical harm.","literal. Describes physical or verbal mistreatment, not metaphorical or symbolic",1,"[0.3, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.4, 0.0, 0.2, 0.15]"
"literal. Physical, emotional, or verbal mistreatment of employees is occurring in the workplace.","metaphor. Bosses often mistreat workers, causing stress and hardship",0,"[0, 0, 0, 0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.03968253968253969]"
literal. It is describing a formal recognition or acceptance of the authors' submission.,metaphor. It implies a formal acknowledgment or approval of the work,0,"[0.4547743189500984, 0.1667505836150361, 1.8551618224632315e-308, 1.8551618224632315e-308, 0.46153846153846156, 0.16666666666666666, 0.46153846153846156, 0.3993055555555555]"
"literal. ignorance, lack of respect, indifference, arrogance, disinterest",metaphor. It implies a lack of acknowledgment or respect for others,0,"[0.18181818181818182, 0.10000000000000002, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.375, 0.14285714285714285, 0.375, 0.22590361445783136]"
literal. It is used literally to mean to recognize or admit the existence of the deed.,metaphor. Because it implies accepting or accepting fully the responsibility for the action,0,"[0.18321292103491182, 1.7665365515873297e-308, 1.7665365515873297e-308, 1.7665365515873297e-308, 0.25, 0.0, 0.25, 0.23694267515923564]"
literal. It is a literal instruction to respond to a specific action or request.,"literal. Literal action of placing a call to answer, not a metaphorical use of ""answer""",0,"[0.3333333333333333, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.42857142857142855, 0.0, 0.2857142857142857, 0.21276595744680848]"
literal. The meaning of life is subjective and can vary greatly from person to person.,"metaphor. It implies a question that cannot be answered definitively, like a burning question that cannot be extinguished",0,"[0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0]"
"literal. Describing physical movement, not highlighting abstract concepts or emotions.","literal. Describing physical action, no symbolic or figurative meaning implied",0,"[0.4, 0.2222222222222222, 0.12500000000000003, 2.2250738585072626e-308, 0.4, 0.2222222222222222, 0.4, 0.37500000000000006]"
metaphor. The editors criticized or criticized harshly the new House Speaker.,metaphor. The editors of the left-leaning paper attacked the new speaker because they disagreed with his or her ideas,1,"[0.3157894736842105, 0.16666666666666669, 0.0588235294117647, 2.2250738585072626e-308, 0.6363636363636364, 0.3, 0.5454545454545454, 0.3613465160075329]"
"metaphor. It implies an aggressive approach, urgency, and determination to solve the problem immediately.","literal. Literal action of attacking a problem directly and forcefully, without any figurative meaning or comparison",1,"[0.12500000000000003, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.14285714285714285, 0.0, 0.07142857142857142, 0.1056338028169014]"
"literal. Describes a physical act of aggression or violence, not a metaphorical or symbolic action.","literal. Literal action of invading and attacking, not a figurative use of ""attack""",0,"[0.263816590510905, 0.07145032659670345, 1.9077870467055724e-308, 1.9077870467055724e-308, 0.3333333333333333, 0.07142857142857142, 0.26666666666666666, 0.21326013513513511]"
"metaphor. Press photographers crowded around the movie star, overwhelming them with attention and requests.","metaphor. To indicate the press was constantly trying to get a photo of the star, which they often did not have permission to do",1,"[0.12500000000000003, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.2857142857142857, 0.0, 0.2857142857142857, 0.16666666666666669]"
