sent1,sent2,label,matrics
"metaphor. Because knowledge and beliefs cannot be physically absorbed, but rather learned and internalized.","metaphor. ""Absorb"" is not physically taking in knowledge, but rather mentally assimilating it.",1,"[0.2849111011207126, 0.077163423220193, 2.060331790082205e-308, 2.060331790082205e-308, 0.42857142857142855, 0.07692307692307693, 0.2857142857142857, 0.3067545963229416]"
metaphor. To indicate taking on or assuming responsibility for the financial burden or consequences.,"metaphor. ""Absorb"" is used to describe taking on financial burden, not physical absorption.",1,"[0.2849111011207126, 0.077163423220193, 2.060331790082205e-308, 2.060331790082205e-308, 0.42857142857142855, 0.15384615384615385, 0.42857142857142855, 0.2676258992805755]"
metaphor. The sales tax is included in the state income tax without being separately identified.,"metaphorical. ""Absorb"" implies assimilation, not physical absorption of a tangible substance.",1,"[0, 0, 0, 0, 0.06666666666666667, 0.0, 0.06666666666666667, 0.0]"
"metaphor. It implies excessive or harmful use, not physical harm.","literal. ""Abuse"" means excessive or improper use, directly describing the husband's behavior with alcohol.",1,"[0.21428571428571425, 0.07692307692307693, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.3, 0.1111111111111111, 0.3, 0.24572649572649571]"
"literal. Physical, emotional, or verbal mistreatment of employees is occurring in the workplace.","metaphor. ""Abuse"" refers to exploitation and mistreatment, not physical harm.",0,"[0, 0, 0, 0, 0.15384615384615385, 0.0, 0.07692307692307693, 0.0]"
literal. It is describing a formal recognition or acceptance of the authors' submission.,literal. The program committee is recognizing or accepting the submission in a direct sense.,0,"[0.3571428571428572, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.5384615384615384, 0.08333333333333333, 0.46153846153846156, 0.3254877014418999]"
"literal. ignorance, lack of respect, indifference, arrogance, disinterest","literal. ""Acknowledge"" means to recognize or greet someone, which is a physical action.",0,"[0.07692307692307693, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.125, 0.0, 0.125, 0.058823529411764705]"
literal. It is used literally to mean to recognize or admit the existence of the deed.,"literal. ""Acknowledge"" means to accept or admit the existence or truth of something, in this case, the deed.",0,"[0.5, 0.23529411764705885, 0.12500000000000003, 0.06666666666666667, 0.625, 0.3333333333333333, 0.625, 0.5506172839506173]"
literal. It is a literal instruction to respond to a specific action or request.,"literal. The word ""answer"" refers to the direct action of responding to a ringing phone.",0,"[0.3333333333333333, 0.07142857142857141, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.42857142857142855, 0.15384615384615385, 0.35714285714285715, 0.36249014972419225]"
literal. The meaning of life is subjective and can vary greatly from person to person.,"metaphorical. ""Answer"" refers to a solution or explanation, not a spoken response.",0,"[0.0649000652559504, 1.7328892633971685e-308, 1.7328892633971685e-308, 1.7328892633971685e-308, 0.06666666666666667, 0.0, 0.06666666666666667, 0.03401360544217687]"
"literal. Describing physical movement, not highlighting abstract concepts or emotions.",literal. The sentence refers to physically climbing a mountain.,0,"[0.09942659075715217, 1.991083571408152e-308, 1.991083571408152e-308, 1.991083571408152e-308, 0.2, 0.0, 0.2, 0.10101010101010102]"
metaphor. The editors criticized or criticized harshly the new House Speaker.,"metaphor. No physical violence is implied, but rather a verbal or written criticism.",1,"[0.15384615384615385, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.2727272727272727, 0.0, 0.2727272727272727, 0.08928571428571429]"
"metaphor. It implies an aggressive approach, urgency, and determination to solve the problem immediately.","metaphor. No physical violence is implied, and ""attack"" means to tackle or confront vigorously.",1,"[0.21428571428571425, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.2857142857142857, 0.0, 0.2857142857142857, 0.10714285714285715]"
"literal. Describes a physical act of aggression or violence, not a metaphorical or symbolic action.","literal. The sentence describes a physical assault on a village, involving violence and aggression.",0,"[0.26601793705829224, 0.07162021382338637, 2.0716834517485276e-308, 2.0716834517485276e-308, 0.4666666666666667, 0.14285714285714285, 0.3333333333333333, 0.29932885906040263]"
"metaphor. Press photographers crowded around the movie star, overwhelming them with attention and requests.","metaphor. Physical blockade or encirclement is not implied, but rather a figurative surrounding.",1,"[0.07122777528017817, 2.060331790082205e-308, 2.060331790082205e-308, 2.060331790082205e-308, 0.07142857142857142, 0.0, 0.07142857142857142, 0.03597122302158273]"
literal. Literal action of physically wrapping and compressing the feet to restrict growth and movement.,literal. The sentence describes a physical act of constraining feet with cloth or other materials.,0,"[0.2, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.3333333333333333, 0.0, 0.2, 0.16666666666666666]"
"metaphor. The spaceship is not actually on fire, but moving quickly and brightly through space.","literal. ""Blaze"" describes the intense heat and flames produced by the spaceship's engines.",1,"[0.06595414762772626, 1.9077870467055724e-308, 1.9077870467055724e-308, 1.9077870467055724e-308, 0.2, 0.07142857142857142, 0.13333333333333333, 0.06756756756756756]"
metaphor. To criticize severely or rebuke harshly.,"metaphor. ""Blister"" is not referring to a physical skin blister, but to a verbal attack.",1,"[0.06666666666666667, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.2857142857142857, 0.0, 0.2857142857142857, 0.12820512820512822]"
"literal. ""Blur"" literally describes a visual impairment caused by the fog obstructing clear sight.","literal. ""Blur"" describes a physical obstruction of sight, a direct effect of fog on vision.",0,"[0.3333333333333333, 0.14285714285714285, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.5, 0.15384615384615385, 0.42857142857142855, 0.3024034672970843]"
"metaphor. To consume too quickly or hastily, like a bolt of lightning or a bolt of food.","metaphor. ""Bolt"" means to swallow quickly, not referring to a physical bolt or fastener.",1,"[0.2306050705729684, 1.7958965995989704e-308, 1.7958965995989704e-308, 1.7958965995989704e-308, 0.4117647058823529, 0.0, 0.35294117647058826, 0.1497005988023952]"
literal. It is a technical term related to increasing the voltage in an electrical circuit.,"literal. ""Boost"" refers to increasing the voltage, a physical property, in a direct and concrete sense.",0,"[0.375, 0.13333333333333333, 0.07142857142857141, 2.2250738585072626e-308, 0.4666666666666667, 0.21428571428571427, 0.4, 0.33848417954378224]"
metaphor. To physically eject or remove individuals from the club premises.,"literal. ""Bounce"" refers to physical removal or ejection from a place.",1,"[0.18181818181818182, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.5454545454545454, 0.1, 0.36363636363636365, 0.3876262626262626]"
literal. Describing the physical action of the ball rebounding off a surface.,"literal. The subject ""rubber ball"" is a physical object that can physically bounce.",0,"[0.23076923076923078, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.4166666666666667, 0.0, 0.3333333333333333, 0.16528925619834708]"
literal. To show respect and honor.,literal. The sentence describes a physical action of inclining one's head or body.,0,"[0.07692307692307693, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.16666666666666666, 0.0, 0.16666666666666666, 0.07462686567164178]"
metaphor. It allows air flow and keeps the wearer cool and comfortable in hot weather.,"metaphor. Fabric cannot literally breathe like a living organism, but implies ventilation.",1,"[0.0649000652559504, 1.7328892633971685e-308, 1.7328892633971685e-308, 1.7328892633971685e-308, 0.06666666666666667, 0.0, 0.06666666666666667, 0.06802721088435373]"
literal. To allow the wine to aerate and release its aromas and flavors.,"metaphor. Wine doesn't have lungs, but exposure to air affects its flavor and aroma.",0,"[0.21428571428571425, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.46153846153846156, 0.0, 0.3076923076923077, 0.15267175572519087]"
literal. Physical action of moving a brush against a surface is being described accurately.,literal. The sentence implies physical contact between a brush and the wall.,0,"[0.2116204312226535, 0.0769528840809649, 1.8834843577582417e-308, 1.8834843577582417e-308, 0.2857142857142857, 0.07692307692307693, 0.2857142857142857, 0.14492753623188406]"
"literal. The word ""brush"" is used non-metaphorically because it describes a physical action being performed.","literal. The verb ""brush"" refers to the physical action of removing dirt or dust from the suit.",0,"[0.29411764705882354, 0.12500000000000003, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.3125, 0.13333333333333333, 0.3125, 0.24473684210526317]"
"metaphor. Creating and developing a stable, functional society with infrastructure, institutions, and systems for governance.","metaphor. ""Build"" implies constructing a concept, not a physical structure.",1,"[0.1213061319425267, 1.3495755153097447e-308, 1.3495755153097447e-308, 1.3495755153097447e-308, 0.13333333333333333, 0.0, 0.13333333333333333, 0.06896551724137931]"
"metaphor. The tension and anticipation were increasing gradually, creating a sense of excitement and anticipation.","metaphor. ""Build"" describes an abstract concept, suspense, increasing in intensity.",1,"[0.1213061319425267, 1.3495755153097447e-308, 1.3495755153097447e-308, 1.3495755153097447e-308, 0.13333333333333333, 0.0, 0.13333333333333333, 0.06896551724137931]"
literal. Literal use: physically constructing new school buildings to provide education infrastructure for residents.,literal. The sentence refers to the physical construction of schools.,0,"[0.13406400920712788, 1.491511611267286e-308, 1.491511611267286e-308, 1.491511611267286e-308, 0.35714285714285715, 0.07692307692307693, 0.2857142857142857, 0.2320772058823529]"
"metaphor. ""Buy"" means believe or accept, not purchase.","metaphor. ""Buy"" means to accept or believe, not to purchase with money.",1,"[0.4166666666666667, 0.18181818181818182, 0.10000000000000002, 2.2250738585072626e-308, 1.0, 0.2857142857142857, 0.75, 0.530952380952381]"
"literal. Literal transactional context, indicating the exchange of dedication for love with material goods or services.","metaphor. ""Buy"" is used to convey the idea of earning or winning someone's love, not a physical transaction.",0,"[0.16666666666666669, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.3125, 0.0, 0.1875, 0.0925925925925926]"
"metaphor. The office is busy with energetic and lively activity, creating a buzzing atmosphere.","metaphor. ""Buzz"" is compared to an atmosphere of excitement, not an actual insect sound.",1,"[0.14285714285714285, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.2857142857142857, 0.0, 0.21428571428571427, 0.07142857142857142]"
literal. Describing the sound of bees flying and moving around the hive.,"literal. Bees make a humming or vibrating sound, which is the definition of ""buzz"".",0,"[0.21428571428571425, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.4166666666666667, 0.0, 0.25, 0.1639344262295082]"
"metaphor. Metaphorically means she charmed or attracted them, not physically captured them.","metaphor. ""Capture"" implies winning over or charming, not physical confinement.",1,"[0.24561922592339458, 1.8217363958297824e-308, 1.8217363958297824e-308, 1.8217363958297824e-308, 0.5, 0.09090909090909091, 0.3333333333333333, 0.267478813559322]"
"metaphor. To convey a sense of struggle, determination, effort, and perseverance in reaching a goal.","metaphor. Humans do not have claws, so ""clawed"" is used to convey struggle and determination.",1,"[0.2, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.4, 0.07142857142857142, 0.3333333333333333, 0.21041666666666667]"
metaphor. To show aggressive and ruthless behavior in attacking or criticizing the rival.,"metaphor. ""Claw"" is used to describe aggressive behavior, not a physical animal-like action.",1,"[0.15384615384615385, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.3076923076923077, 0.0, 0.3076923076923077, 0.11538461538461539]"
metaphor. Sales were increasing rapidly after prices were reduced.,"metaphor. Sales can't physically climb, but are increasing in value or amount.",1,"[0.25, 0.0909090909090909, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.3333333333333333, 0.125, 0.3333333333333333, 0.27479091995221033]"
metaphor. To convey the idea of upward progression or advancement.,"literal. The subject ""path"" is a physical entity that can ascend a hill.",1,"[0, 0, 0, 0, 0.1, 0.0, 0.1, 0.048543689320388356]"
"metaphor. Fear does not physically block the mind, but overwhelms and hinders clear thinking.","metaphor. ""Clog"" is used to describe a mental state, not a physical blockage.",1,"[0.14245555056035633, 2.060331790082205e-308, 2.060331790082205e-308, 2.060331790082205e-308, 0.21428571428571427, 0.0, 0.21428571428571427, 0.10791366906474818]"
