"metaphor. Because knowledge and beliefs cannot be physically absorbed, but rather learned and internalized.",metaphor. To indicate the process of absorbing or becoming familiar with new information or ideas,3
metaphor. To indicate taking on or assuming responsibility for the financial burden or consequences.,"literal. Because it means to take in or absorb, not necessarily to increase or decrease in size or importance",1
metaphor. The sales tax is included in the state income tax without being separately identified.,metaphor. The sales tax is not a physical object that can be physically worn or carried,2
"metaphor. It implies excessive or harmful use, not physical harm.","literal. Describes physical or verbal mistreatment, not metaphorical or symbolic",2
"literal. Physical, emotional, or verbal mistreatment of employees is occurring in the workplace.","metaphor. Bosses often mistreat workers, causing stress and hardship",2
literal. It is describing a formal recognition or acceptance of the authors' submission.,metaphor. It implies a formal acknowledgment or approval of the work,2
"literal. ignorance, lack of respect, indifference, arrogance, disinterest",metaphor. It implies a lack of acknowledgment or respect for others,2
literal. It is used literally to mean to recognize or admit the existence of the deed.,metaphor. Because it implies accepting or accepting fully the responsibility for the action,2
literal. It is a literal instruction to respond to a specific action or request.,"literal. Literal action of placing a call to answer, not a metaphorical use of ""answer""",2
literal. The meaning of life is subjective and can vary greatly from person to person.,"metaphor. It implies a question that cannot be answered definitively, like a burning question that cannot be extinguished",1
"literal. Describing physical movement, not highlighting abstract concepts or emotions.","literal. Describing physical action, no symbolic or figurative meaning implied",2
metaphor. The editors criticized or criticized harshly the new House Speaker.,metaphor. The editors of the left-leaning paper attacked the new speaker because they disagreed with his or her ideas,3
"metaphor. It implies an aggressive approach, urgency, and determination to solve the problem immediately.","literal. Literal action of attacking a problem directly and forcefully, without any figurative meaning or comparison",2
"literal. Describes a physical act of aggression or violence, not a metaphorical or symbolic action.","literal. Literal action of invading and attacking, not a figurative use of ""attack""",3
"metaphor. Press photographers crowded around the movie star, overwhelming them with attention and requests.","metaphor. To indicate the press was constantly trying to get a photo of the star, which they often did not have permission to do",2
literal. Literal action of physically wrapping and compressing the feet to restrict growth and movement.,literal. To physically secure and protect the feet of the women,3
"metaphor. The spaceship is not actually on fire, but moving quickly and brightly through space.","metaphor. The spaceship made a fast, intense, and spectacular appearance in the sky",3
metaphor. To criticize severely or rebuke harshly.,literal. The Senator physically damaged the administration's reputation and credibility with his harsh and negative speech,2
"literal. ""Blur"" literally describes a visual impairment caused by the fog obstructing clear sight.","metaphor. The fog obscures vision, making it difficult to differentiate between objects",3
literal. It is a technical term related to increasing the voltage in an electrical circuit.,metaphor. To increase the voltage output or provide additional power for the circuit,2
literal. Describing the physical action of the ball rebounding off a surface.,"literal. Describes physical action, no symbolic or figurative meaning implied",3
literal. To show respect and honor.,literal. Bowing is a physical action that humans perform to show respect and obedience,3
metaphor. It allows air flow and keeps the wearer cool and comfortable in hot weather.,"metaphor. Because it physically functions as a air-conditioner, creating a cooling effect on the skin",2
literal. To allow the wine to aerate and release its aromas and flavors.,"literal. Because it refers to the natural process of oxygenation, not a metaphorical breath",2
literal. Physical action of moving a brush against a surface is being described accurately.,"literal. Literal action of physically removing something from the surface, not using metaphorical language or comparison",2
"literal. The word ""brush"" is used non-metaphorically because it describes a physical action being performed.","literal. Literal action of physically removing something from surface, not using metaphorical language or comparison",3
"metaphor. Creating and developing a stable, functional society with infrastructure, institutions, and systems for governance.","metaphor. To establish a new direction, a new model, or a new way of doing things",2
"metaphor. The tension and anticipation were increasing gradually, creating a sense of excitement and anticipation.",metaphor. It implies a buildup or anticipation in the audience for the show's events,3
literal. Literal use: physically constructing new school buildings to provide education infrastructure for residents.,metaphor. To indicate the government is undertaking a large-scale construction project,2
"literal. Literal transactional context, indicating the exchange of dedication for love with material goods or services.","metaphor. To convey a strong, intentional, and financial exchange between the two individuals",2
"metaphor. The office is busy with energetic and lively activity, creating a buzzing atmosphere.",metaphor. It implies a high level of activity or interest in the office,3
literal. Describing the sound of bees flying and moving around the hive.,"metaphor. Bees are not physically buzzing, but their buzzing sounds like a buzzing sound",2
"metaphor. To convey a sense of struggle, determination, effort, and perseverance in reaching a goal.",literal. Literal action of climbing up a mountain by force,2
metaphor. To show aggressive and ruthless behavior in attacking or criticizing the rival.,"metaphor. To indicate forceful or forceful action, not physical strength",2
metaphor. Sales were increasing rapidly after prices were reduced.,"metaphor. Sales increasing rapidly due to the action of lowering prices, attracting more customers",3
metaphor. To convey the idea of upward progression or advancement.,"literal. Literal description of physical movement, no figurative meaning implied",2
"metaphor. Fear does not physically block the mind, but overwhelms and hinders clear thinking.","metaphor. To indicate a slow, repetitive, and overwhelming reaction or feeling to the information presented",1
metaphor. To describe the restriction or slowing down of movement until they were trained and controlled.,literal. Describing the horse's physical state of being clogged by the horses' many tasks,1
literal. The leaves physically block the flow of water in the drains.,"metaphor. Too many leaves slowing down the water's flow, causing a congestion",2
"metaphor. Clouds represent darkness, obscurity, and heaviness, mirroring the emotions of sadness on their faces.","metaphor. Because it implies a lack of clarity or emotion, like a person's face is covered with a thick layer of fog",1
metaphor. To show how the stroke affected her memory or made it unclear and confused.,metaphor. The stroke obscured or obscured details or events related to her childhood experiences,3
"literal. Describing physical appearance, not using cloud as metaphor for emotions or thoughts.","metaphor. The smoke obscured vision, creating a haze or fog-like appearance in the sky",1
metaphor. It suggests his ideas influence and shape the content and perspective of his lectures.,metaphor. His political ideas influence his lectures and behavior,3
literal. Describing the physical action of adding color to the walls with paint.,literal. To apply a coating of color evenly and efficiently on the walls,3
metaphor. Disease is not a literal message but can be transmitted like communication.,literal. Literal action of spreading information about a disease to prevent infection,2
literal. The sentence describes a literal act of sharing information or feelings with another person.,"metaphor. The sentence describes a physical act of communicating, not a metaphorical concept or emotion",3
literal. Both are historical societies with similar levels of power and influence in their respective regions.,metaphor. To show that the two systems are similar or identical,1
"literal. The car is inferior in quality, performance, and luxury compared to our Mercedes line.","literal. Both cars have similar characteristics and performance, but one is more expensive or advanced",2
literal. The statement is a factual description of Beethoven's creative process in writing music.,metaphor. To describe the composer's intense and creative focus on creating music,3
"literal. Literal instruction for using a digital or electronic dictionary, not a metaphorical or symbolic meaning.",literal. Literal instruction for using a computer for a specific task,3
"literal. Referring to the process of automating tasks using computer technology, not a metaphorical transformation.","metaphor. To make it more efficient, automated, and effective",2
"metaphor. Limited time, urgency, need for quick action, efficiency, simplification, prioritization, streamlining processes.","metaphor. To make it more concise, to provide a brief overview, to simplify information for understanding",2
"metaphor. Feelings cannot physically condense; metaphorically indicates intense, concentrated emotions or thoughts.","metaphor. To describe the rapid accumulation of emotions, feelings, or thoughts",3
literal. Refers to the physical process of matter coming together due to gravity and cooling.,metaphor. Condensation is a physical process where gas turns into liquid due to temperature change,2
"metaphor. Earthquakes cause violent shaking and disruption, similar to convulsions in the body.",metaphor. The earthquakes caused widespread destruction and destruction of property,2
"literal. It describes involuntary muscle spasms or contractions, not a metaphorical expression of emotion.","literal. Because it describes a physical reaction or movement, not an abstract concept or emotion",3
"metaphor. Maggots were covering the cheese, appearing to move slowly like they were crawling.","metaphor. The old cheese was crawling with maggots, a common occurrence in old cheese",3
literal. The crocodile is a real animal that physically moves along the riverbed.,"literal. Describing the movement of the crocodile, not implying a literal crawl",2
"metaphor. It signifies the pinnacle of the meeting, highlighting its importance and impact on attendees.",metaphor. It signifies the speaker's eloquence or influence on the audience's understanding,2
"literal. Literal ceremony, traditional symbol of royalty, official recognition of power and authority.",literal. The sentence describes a literal event of a person being crowned or being acknowledged as the rightful heir to the throne,2
"literal. The action of crushing physically occurred, no emotional or romantic connotation present.","literal. Literal action of vehicle hitting toy forcefully, not a figurative expression",2
"literal. Literal action of physically flattening or compacting the can, no emotional or romantic connotation.","literal. Literal action of physically pressing down on the can, not using the word ""crush""",2
"literal. Describing the action of splashing or sprinkling paint, not indicating speed or urgency.","metaphor. Describes physical movement, not a conceptual concept or figure of speech",1
