sent1,sent2,label,matrics
"metaphor. Because knowledge and beliefs cannot be physically absorbed, but rather learned and internalized.",metaphorical. Knowledge and beliefs cannot be physically absorbed like a liquid or gas.,1,"[0.3561388764008908, 0.308653692880772, 0.2525348396297225, 0.18519221572846323, 0.5714285714285714, 0.46153846153846156, 0.5714285714285714, 0.4046762589928057]"
metaphor. To indicate taking on or assuming responsibility for the financial burden or consequences.,metaphorical. Costs cannot actually be physically absorbed; it means he paid for them.,1,"[0.07122777528017817, 2.060331790082205e-308, 2.060331790082205e-308, 2.060331790082205e-308, 0.14285714285714285, 0.0, 0.14285714285714285, 0.03597122302158273]"
metaphor. The sales tax is included in the state income tax without being separately identified.,"metaphor. Sales tax is not physically absorbed, but rather integrated or included within state income tax.",1,"[0.375, 0.13333333333333333, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.5333333333333333, 0.2857142857142857, 0.5333333333333333, 0.31761048790377083]"
"metaphor. It implies excessive or harmful use, not physical harm.","literal. Describes physically harmful behavior towards alcohol, not a metaphorical concept.",1,"[0.18181818181818182, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.4, 0.1111111111111111, 0.2, 0.14851485148514848]"
"literal. Physical, emotional, or verbal mistreatment of employees is occurring in the workplace.","literal. The term ""abuses"" is used to describe mistreatment or exploitation of workers.",0,"[0.38461538461538464, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.46153846153846156, 0.0, 0.23076923076923078, 0.23076923076923078]"
literal. It is describing a formal recognition or acceptance of the authors' submission.,literal. The program committee actually recognized and accepted the submission from the authors.,0,"[0.15384615384615385, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.38461538461538464, 0.08333333333333333, 0.3076923076923077, 0.11538461538461539]"
"literal. ignorance, lack of respect, indifference, arrogance, disinterest",literal. Acknowledging someone in a hallway is a concrete action that can be observed.,0,"[0.07142857142857141, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.125, 0.0, 0.125, 0.058139534883720936]"
literal. It is used literally to mean to recognize or admit the existence of the deed.,"literal. ""Deed"" refers to a physical action or document, suggesting a literal acknowledgment.",0,"[0.18321292103491182, 1.7665365515873297e-308, 1.7665365515873297e-308, 1.7665365515873297e-308, 0.3125, 0.0, 0.1875, 0.12738853503184713]"
literal. It is a literal instruction to respond to a specific action or request.,"literal. ""Answer"" in this context means to pick up the phone and respond to the call.",0,"[0.25, 0.06666666666666667, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.2857142857142857, 0.07692307692307693, 0.2857142857142857, 0.2222711267605634]"
literal. The meaning of life is subjective and can vary greatly from person to person.,"literal. The word ""answered"" is used in its literal sense of responding to a question.",0,"[0.3333333333333333, 0.07142857142857141, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.3333333333333333, 0.07142857142857142, 0.26666666666666666, 0.248]"
"literal. Describing physical movement, not highlighting abstract concepts or emotions.","literal. The word ""ascend"" is used to describe physically climbing up a mountain.",0,"[0.07692307692307693, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.3, 0.1111111111111111, 0.3, 0.24811218985976266]"
metaphor. The editors criticized or criticized harshly the new House Speaker.,"literal. The word ""attack"" is often used in a figurative sense in political discourse.",1,"[0.07142857142857141, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.09090909090909091, 0.0, 0.09090909090909091, 0.04424778761061947]"
"metaphor. It implies an aggressive approach, urgency, and determination to solve the problem immediately.",metaphor. The problem is not a physical entity that can be physically attacked.,1,"[0.14245555056035633, 2.060331790082205e-308, 2.060331790082205e-308, 2.060331790082205e-308, 0.21428571428571427, 0.07692307692307693, 0.21428571428571427, 0.18385291766586728]"
"literal. Describes a physical act of aggression or violence, not a metaphorical or symbolic action.","literal. The word ""attacked"" is describing a physical assault on the village by the Serbs.",0,"[0.2, 0.07142857142857141, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.26666666666666666, 0.14285714285714285, 0.26666666666666666, 0.13333333333333333]"
"metaphor. Press photographers crowded around the movie star, overwhelming them with attention and requests.",literal. The press photographers physically surrounded and crowded the movie star for photographs.,1,"[0.3561388764008908, 0.077163423220193, 2.060331790082205e-308, 2.060331790082205e-308, 0.5, 0.23076923076923078, 0.42857142857142855, 0.36770583533173457]"
literal. Literal action of physically wrapping and compressing the feet to restrict growth and movement.,"literal. The statement describes a physical action done to the women's feet, not a metaphorical concept.",0,"[0.25, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.4, 0.0, 0.26666666666666666, 0.16556291390728475]"
"metaphor. The spaceship is not actually on fire, but moving quickly and brightly through space.","literal. Spaceships do not actually produce fire, so ""blazed"" is a metaphor for speed.",1,"[0.26601793705829224, 0.07162021382338637, 2.0716834517485276e-308, 2.0716834517485276e-308, 0.4, 0.07142857142857142, 0.26666666666666666, 0.24966442953020132]"
metaphor. To criticize severely or rebuke harshly.,"metaphor. The word ""blistered"" implies strong criticism or rebuke, not a physical action.",1,"[0.15384615384615385, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.5714285714285714, 0.16666666666666666, 0.5714285714285714, 0.19736842105263158]"
"literal. ""Blur"" literally describes a visual impairment caused by the fog obstructing clear sight.","literal. Fog physically obstructs sight, causing objects to appear out of focus.",0,"[0.07054014374088449, 1.8834843577582417e-308, 1.8834843577582417e-308, 1.8834843577582417e-308, 0.35714285714285715, 0.0, 0.2857142857142857, 0.14492753623188406]"
"metaphor. To consume too quickly or hastily, like a bolt of lightning or a bolt of food.","literal. Referring to physically eating quickly, not a metaphor for something else.",1,"[0.0549367191833703, 1.4668590927248608e-308, 1.4668590927248608e-308, 1.4668590927248608e-308, 0.23529411764705882, 0.0, 0.17647058823529413, 0.060606060606060615]"
literal. It is a technical term related to increasing the voltage in an electrical circuit.,"literal. The word ""boost"" is used to describe physically increasing the voltage in the circuit.",0,"[0.5333333333333333, 0.21428571428571425, 0.15384615384615385, 0.08333333333333333, 0.5333333333333333, 0.21428571428571427, 0.5333333333333333, 0.3546875]"
metaphor. To physically eject or remove individuals from the club premises.,"literal. The word ""bounce"" is used in its literal sense of physically removing someone forcefully.",1,"[0.06666666666666667, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.2727272727272727, 0.0, 0.18181818181818182, 0.13157894736842105]"
literal. Describing the physical action of the ball rebounding off a surface.,"literal. The word ""bounced"" is describing the physical action of the rubber ball rebounding off a surface.",0,"[0.6470588235294118, 0.5, 0.4, 0.2857142857142857, 1.0, 0.8181818181818182, 1.0, 0.9525]"
literal. To show respect and honor.,literal. The action of bowing physically involves bending at the waist as a sign of respect.,0,"[0.0625, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.3333333333333333, 0.0, 0.3333333333333333, 0.07142857142857144]"
metaphor. It allows air flow and keeps the wearer cool and comfortable in hot weather.,"literal. The fabric allows air to pass through, making it comfortable to wear in summer.",1,"[0.26666666666666666, 0.07142857142857141, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.4, 0.07142857142857142, 0.26666666666666666, 0.2842592592592593]"
literal. To allow the wine to aerate and release its aromas and flavors.,"literal. Wine needs oxygen to release flavors and aromas, a process known as aeration.",0,"[0.2857142857142857, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.6153846153846154, 0.0, 0.38461538461538464, 0.19083969465648856]"
literal. Physical action of moving a brush against a surface is being described accurately.,literal. The action of brushing the wall is described in a straightforward and realistic manner.,0,"[0.4, 0.07142857142857141, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.5, 0.07692307692307693, 0.42857142857142855, 0.3401360544217687]"
"literal. The word ""brush"" is used non-metaphorically because it describes a physical action being performed.","literal. The word ""brushed"" is describing a physical action of cleaning the suit.",0,"[0.4616790333940838, 0.2858013063868138, 0.1558916216655348, 1.9077870467055724e-308, 0.5625, 0.4666666666666667, 0.5625, 0.4745565878378378]"
