sent1,sent2,label,matrics
"metaphor. Because knowledge and beliefs cannot be physically absorbed, but rather learned and internalized.",metaphor. To indicate the process of absorbing or becoming familiar with new information or ideas,1,"[0, 0, 0, 0, 0.07692307692307693, 0.0, 0.07692307692307693, 0.0]"
metaphor. To indicate taking on or assuming responsibility for the financial burden or consequences.,"literal. Because it means to take in or absorb, not necessarily to increase or decrease in size or importance",1,"[0.11111111111111109, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.3076923076923077, 0.0, 0.3076923076923077, 0.14814814814814817]"
metaphor. The sales tax is included in the state income tax without being separately identified.,metaphor. The sales tax is not a physical object that can be physically worn or carried,1,"[0.26666666666666666, 0.21428571428571425, 0.15384615384615385, 0.08333333333333333, 0.35714285714285715, 0.23076923076923078, 0.35714285714285715, 0.1773049645390071]"
"metaphor. It implies excessive or harmful use, not physical harm.","literal. Describes physical or verbal mistreatment, not metaphorical or symbolic",1,"[0.3333333333333333, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.3333333333333333, 0.0, 0.2222222222222222, 0.16666666666666666]"
"literal. Physical, emotional, or verbal mistreatment of employees is occurring in the workplace.","metaphor. Bosses often mistreat workers, causing stress and hardship",0,"[0, 0, 0, 0, 0.08333333333333333, 0.0, 0.08333333333333333, 0.043103448275862065]"
literal. It is describing a formal recognition or acceptance of the authors' submission.,metaphor. It implies a formal acknowledgment or approval of the work,0,"[0.49123845184678916, 0.18194016735066265, 1.8217363958297824e-308, 1.8217363958297824e-308, 0.5, 0.18181818181818182, 0.5, 0.43314500941619577]"
"literal. ignorance, lack of respect, indifference, arrogance, disinterest",metaphor. It implies a lack of acknowledgment or respect for others,0,"[0.2, 0.11111111111111109, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.42857142857142855, 0.16666666666666666, 0.42857142857142855, 0.2568493150684931]"
literal. It is used literally to mean to recognize or admit the existence of the deed.,metaphor. Because it implies accepting or accepting fully the responsibility for the action,0,"[0.19470019576785122, 1.7328892633971685e-308, 1.7328892633971685e-308, 1.7328892633971685e-308, 0.26666666666666666, 0.0, 0.26666666666666666, 0.25306122448979596]"
literal. It is a literal instruction to respond to a specific action or request.,"literal. Literal action of placing a call to answer, not a metaphorical use of ""answer""",0,"[0.2857142857142857, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.38461538461538464, 0.0, 0.23076923076923078, 0.19083969465648856]"
literal. The meaning of life is subjective and can vary greatly from person to person.,"metaphor. It implies a question that cannot be answered definitively, like a burning question that cannot be extinguished",0,"[0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0]"
