sent1,sent2,label,matrics
literal. Small businesses provide job opportunities and stability during economic downturns and corporate restructuring.,"metaphor. ""absorbs"" implies taking in and assimilating, rather than physical absorption.",0,"[0.06920912606335215, 1.6939495889106837e-308, 1.6939495889106837e-308, 1.6939495889106837e-308, 0.07142857142857142, 0.0, 0.07142857142857142, 0.0364963503649635]"
"literal. Geographical proximity, cultural similarities, and historical context make absorption more feasible for South Korea.","Please refer to relevant websites for more information, and feel free to ask me any other questions.",0,"[0.17647058823529413, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.2, 0.0, 0.06666666666666667, 0.0986842105263158]"
literal. - Demand may be low,"metaphor. ""absorb"" is used to describe the market's capacity to handle inventory, not physical absorption.",0,"[0, 0, 0, 0, 0.0, 0.0, 0.0, 0.07246376811594203]"
literal. The vitamins may not be broken down or utilized by the body's cells.,literal. Refers to the physical process of vitamins being taken into the body's tissues.,0,"[0.2857142857142857, 0.07692307692307693, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.4666666666666667, 0.14285714285714285, 0.4666666666666667, 0.3045634920634921]"
"literal. The ground physically absorbed the shock waves, transferring the images to the metal surface.","literal. ""absorb"" describes the physical action of shock waves being taken in by the ground.",0,"[0.26666666666666666, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.5333333333333333, 0.14285714285714285, 0.4, 0.16666666666666666]"
literal. Because it describes the physical process of light being taken in by the stone.,"literal. Light can be physically absorbed by materials, including grey stone.",0,"[0.18958470774514877, 1.54674658298039e-308, 1.54674658298039e-308, 1.54674658298039e-308, 0.4, 0.0, 0.3333333333333333, 0.2054794520547945]"
literal. Because the executives are typically let go or relocated as part of the merger process.,"metaphor. ""Absorb"" implies takeover or acquisition, not physical absorption of substances.",0,"[0.1154066216255058, 1.412335412826535e-308, 1.412335412826535e-308, 1.412335412826535e-308, 0.125, 0.0, 0.125, 0.06451612903225806]"
literal. Guest labor is needed to fill employment gaps left by demobilized soldiers in Iraq.,"metaphor. ""absorb"" means to take in and utilize, not physically soak up.",0,"[0.12980013051190084, 1.7328892633971685e-308, 1.7328892633971685e-308, 1.7328892633971685e-308, 0.13333333333333333, 0.0, 0.13333333333333333, 0.17384731670445958]"
literal. - Financial consolidation and stability,"metaphor. ""absorb"" means to take in and assimilate, not physical absorption.",0,"[0.0909090909090909, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.2, 0.0, 0.2, 0.07692307692307693]"
literal. To utilize excess capacity and retain skilled workers in the industry.,"metaphor. ""absorb"" means to take in and assimilate, not physical absorption of a substance.",0,"[0.14285714285714285, 2.2250738585072626e-308, 2.2250738585072626e-308, 2.2250738585072626e-308, 0.25, 0.0, 0.16666666666666666, 0.12295081967213116]"
